link_id,x,y,lat,lon,angle
17,525719.3463875508,4195036.898517162,37.902493501664075,-122.70744727992759,144.82983846091406
17,525725.2780623648,4195028.571223988,37.90241828062057,-122.70738010623502,144.82987959514725
17,525731.2097371789,4195020.243930815,37.902343059538325,-122.70731293267895,144.82992072609431
17,525737.141411993,4195011.91663764,37.90226783841733,-122.70724575925934,144.82996186860726
17,525743.073086807,4195003.589344467,37.90219261725762,-122.70717858597625,144.830002994138
17,525749.0047616211,4194995.262051294,37.90211739605917,-122.70711141282963,144.83004414834522
17,525754.9364364352,4194986.93475812,37.90204217482197,-122.70704423981954,144.83008527530774
17,525760.8681112492,4194978.607464947,37.90196695354606,-122.70697706694592,144.83012641382857
17,525766.7997860633,4194970.280171772,37.901891732231405,-122.70690989420882,144.8301675467818
17,525772.7314608773,4194961.952878599,37.90181651087802,-122.7068427216082,144.83020867531587
17,525778.6631356914,4194953.625585426,37.90174128948591,-122.70677554914406,144.83020867531587
18,526190.2598941452,4195641.658551113,37.90793072242186,-122.70206881796496,140.87631917662037
18,526196.9022084401,4195633.579308909,37.90785771357663,-122.70199355196884,141.69577872900186
18,526203.4015299482,4195625.440943175,37.907784175926835,-122.70191991488325,143.8644407791149
18,526209.6279325024,4195617.005836592,37.90770797159363,-122.70184939331831,143.8644839832142
18,526215.8543350566,4195608.570730009,37.90763176721777,-122.7017788718986,143.86452716279746
18,526222.0811088595,4195600.135120671,37.90755555825733,-122.70170834641927,143.844134448952
18,526228.3337561309,4195591.671502969,37.907479096071,-122.70163752778252,142.58285763430717
18,526234.7475041704,4195583.377954397,37.90740416201452,-122.70156487051136,142.5829021427951
18,526241.16125221,4195575.084405825,37.90732922791284,-122.70149221338733,142.58294667565963
18,526247.5750002494,4195566.790857253,37.90725429376598,-122.7014195564105,142.58299118984286
18,526253.9887482891,4195558.49730868,37.907179359573924,-122.70134689958081,142.58303570136252
18,526260.4024963286,4195550.203760108,37.90710442533669,-122.70127424289828,142.5830802320571
18,526266.8162443681,4195541.910211535,37.90702949105426,-122.70120158636293,142.5830802320571
19,526269.5849184269,4195544.051343001,37.90704870894357,-122.701170013633,322.5831442566696
19,526263.1711703873,4195552.344891574,37.907123643245185,-122.70124267015498,322.5830997474701
